"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
2002-03-01,4668,1076,2075,139,363,867,142,15088,154,410,990,193,293,90,1582,1905,42
2002-04-01,4644,937,1756,112,377,695,116,14012,212,387,674,199,331,76,1323,2019,55
2002-05-01,4911,1034,1810,115,424,818,152,14593,173,458,656,216,294,77,1426,1853,62
2002-06-01,4108,829,1470,115,349,640,119,12118,175,347,574,187,293,71,1175,1486,54
2002-07-01,4684,1011,1740,108,438,767,117,14113,195,385,583,234,311,97,1336,1724,70
2002-08-01,3666,733,1451,88,280,587,104,11228,155,370,510,163,278,64,1057,1365,36
2002-09-01,4453,928,1642,117,416,690,123,13165,150,412,587,212,320,87,1260,1701,54
2002-10-01,4160,869,1530,116,406,669,107,12269,168,404,589,171,277,76,1088,1553,55
2002-11-01,4191,942,1687,123,441,696,131,12884,179,366,680,234,291,71,1159,1592,67
2002-12-01,4447,861,1664,102,414,733,105,13181,193,368,617,204,340,66,1315,1682,48
2003-01-01,3981,913,1655,107,387,568,104,12513,170,354,767,221,348,71,1249,1533,47
2003-02-01,5389,1038,2452,120,455,1140,127,17704,215,467,1069,357,343,64,1710,2649,77
2003-03-01,4672,981,1964,124,426,859,111,14758,181,391,1010,189,315,89,1429,1947,50
2003-04-01,4077,852,1603,92,331,585,105,12192,158,378,687,231,245,84,1120,1572,40
2003-05-01,5323,1185,2070,138,469,945,133,16287,230,447,784,221,329,103,1469,2317,76
2003-06-01,3924,822,1464,98,347,535,124,11611,169,369,652,224,306,72,1122,1292,53
2003-07-01,5700,1170,2065,131,570,846,109,16390,223,454,676,271,331,93,1458,2145,91
2003-08-01,4866,1003,1694,111,428,799,136,14296,225,392,669,244,376,100,1317,1845,65
2003-09-01,4768,1032,1837,127,498,668,106,14185,196,423,744,246,292,90,1322,1729,88
2003-10-01,4771,1040,1907,109,423,772,110,14105,158,425,677,255,292,108,1249,1719,66
2003-11-01,4524,920,1697,103,437,796,106,13339,165,378,699,199,280,80,1194,1690,60
2003-12-01,5006,1000,2099,124,435,805,136,15088,176,432,898,257,335,90,1425,1791,64
2004-01-01,3944,753,1687,105,382,619,86,12624,160,318,851,225,307,67,1286,1750,75
2004-02-01,4916,870,2076,101,349,853,107,15165,191,365,882,318,270,85,1420,2290,66
2004-03-01,5858,1207,2258,119,422,1093,108,17587,208,485,1105,272,342,99,1552,2389,58
2004-04-01,4924,971,1808,98,320,820,116,14471,184,409,703,249,292,82,1316,2112,62
2004-05-01,4968,1019,1727,124,419,771,111,14111,180,473,704,260,287,102,1176,1709,80
2004-06-01,4597,1013,1734,99,388,705,100,13488,182,406,602,204,295,106,1242,1751,60
2004-07-01,4855,989,1832,97,435,742,131,14212,241,391,607,273,340,120,1350,1724,82
2004-08-01,5073,1057,1652,114,424,728,110,14371,204,424,673,310,376,91,1348,1720,65
2004-09-01,4802,929,1623,116,372,726,98,13582,209,432,665,267,309,87,1218,1671,57
2004-10-01,4035,865,1531,80,323,558,116,11785,181,317,680,226,271,72,1043,1426,60
2004-11-01,5250,1037,1904,110,443,848,107,15166,199,411,872,300,284,100,1458,1772,65
2004-12-01,4969,917,1920,120,434,867,112,14643,201,384,837,269,337,89,1344,1763,78
2005-01-01,4012,782,1510,83,249,574,76,11510,160,281,717,170,240,71,1142,1398,45
2005-02-01,4427,865,2009,96,307,740,86,13920,160,374,830,281,241,82,1246,2116,60
2005-03-01,5289,987,2153,141,398,903,103,15745,183,429,1009,211,311,79,1409,2065,75
2005-04-01,5204,1082,1931,136,380,959,128,14940,206,375,726,274,292,83,1366,1731,67
2005-05-01,5204,1020,1927,124,434,754,113,15400,224,434,721,276,337,90,1311,2346,83
